"Boatwright, T W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bobb, James H - Age 21, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bobbitt, John R - Age 20, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bobbitt, William D - Age 32, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bobbitt, W D - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bobbitt, William D - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bobo, Barham F - Age 25, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bobo, B F - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boddie, George W - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Boddie, G W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boddish, George - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bodie, G W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bodine, John - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bodino, John - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boffit, W D - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boland, J C - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Boland, M M - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Boling, B H - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Boling, J A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boling, J C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bolls, J W - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Bonn, J M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bonnemail, C L - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bonneman, C L - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bonnemor, C L - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bonnets, J G - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Booker, W W - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bookout, B C - Age 22, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boone, J F - Age 23, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boswell, James M - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Boswell, J M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boswell, Thomas J - Age 36, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Botters, John - Age 28, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bounds, J L - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bounds, J S - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bounds, William - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bowers, Daniel - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bowers, J T - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bowie, C T - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Bowling, Jas A - Age 20, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bowmar, A H - Age 19, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyce, George - Age 18, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyce, John P - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyd, A P - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyd, Daniel - Age 32, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyd, J L - Age 28, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyed, Daniel - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Boykin, Ruffin - Age 27, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Boyle, William - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Boyles, [BLANK] - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brabant, Julius - Age 38, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bracken, Thomas C - Age 31, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bradford, J L - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bradford, J S - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bradley, B F - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bradley, B S - Age 40, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bradley, C R - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Branch, F M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Branch, James M - Age 21, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Branch, S T - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brannan, Michael - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brant, James - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Brantley, W M - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Braswell, [BLANK] - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Braswell, Robert W - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Braswell, R W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Braton, [BLANK] - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Braughn, R H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brazwell, E J - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Breeley, Marion - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Breene, J - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Breler, J A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brewer, D C - Age 18, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brewer, P C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brewer, W C - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brewer, William E - Age 27, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brewton, G W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brians, M - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Brice, A H - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brice, A K - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brice, J H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bridges, H O - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Bridges, Troy - Age 30, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Briene, James - Age 23, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Briggs, James J - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Briggs, R T - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Brinkley, Eli T - Age 17, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brinkley, W H - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bristol, W W - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Brock, A B - Age 31, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brock, Charles P - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Brock, E R - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Brock, W D - Age 20, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brooks, E Foster - Age 22, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brooks, George - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brooks, G M - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brooks, Henry J - Age 17, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brooks, H J - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brooks, J - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brooks, James M - Age [Blank], Year: 1861 - Twenty-eighth Cavalry, A-B"
"Brough, George M - Age 29, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brough, George M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Browder, G W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Browder, J W - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, A - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, Bartley - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, C A - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, D H - Age 24, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, F W - Age 35, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, J - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, James - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, James C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brown, James C - Age 28, Year: 1863 - Twenty-eighth Cavalry, A-B"
"Brown, Jethro - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, J M - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Brown, J N - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brown, John - Age 48, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, Joseph - Age 33, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, J R - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Brown, Lorenzo D - Age 31, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, L F - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brown, Lorenzo D - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brown, R A - Age 26, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, R C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Brown, S F - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brown, W C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Browning, D C - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Brownlow, I N - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bruton, G W - Age 31, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bryan, C A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bryan, D R - Age 40, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bryan, Erastus J - Age 24, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bryan, Erastus J - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bryan, James - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bryan, J E - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Bryant, D R - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Bucam, W D - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Buck, H C - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Buckner, C B - Age 40, Year: 1864 - Twenty-eighth Cavalry, A-B"
"Buckner, Davis M - Age 21, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Buckner, D M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Buckner, D N - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Buckner, H C - Age 29, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Buckner, J H - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Buckner, P M - Age 28, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Buford, J R - Age 29, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bull, J - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bullard, J B - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Bunch, H H - Age 22, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bunn, A - Age 32, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bunn, J - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bunn, Richard G - Age 28, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Bunn, R G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Burdett, M - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Burdett, R - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burge, J E - Age 27, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burgen, Dennis - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Burke, A T - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burke, John - Age 30, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burke, Thomas - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burnett, J W - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burns, R C - Age 22, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burress, W P - Age 23, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burt, J H - Age 38, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burt, T J - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Burt, William M - Age 24, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Burton, J C - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Burton, J F - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Busick, D W - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, A-B"
"Buskin, T A - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Buster, J D - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"Butcher, Stephen - Age 23, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Butler, Henry - Age 17, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Butler, Joseph F - Age 21, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Butte, H H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, A-B"
"Butler, W R - Age 32, Year: 1862 - Twenty-eighth Cavalry, A-B"
"Byars, J D - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, A-B"
"Byars, W R - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, A-B"
"[BLANK], [BLANK] - Age [BLANK], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cain, P H - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Cain, Thomas C - Age 24, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Calhoun, J I - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Calhoun, J C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Campbell, Alexander - Age 24, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Campbell, C T - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Campbell, F P - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Campbell, J J - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Campbell, Joseph - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Campbell, P W - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Campbell, R N - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Campbell, William R - Age 21, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Candrey, J F - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cannon, J A - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Canslor, T G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Canslor, Thos J - Age 24, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Canstlor, T J - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Caperton, W W - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Capshaw, C C - Age 32, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carghile, Thomas - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cargill, Thomas - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Carmichael, W A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carmichael, William - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carmicle, J G - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Carmicle, J W - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Carothers, L B - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carothers, S B - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carpenter, J L - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Carr, G W - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Carr, William - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carrol, William - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carroll, Wm L - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carruthers, S B - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carson, Joseph - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carter, A - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Carter, A G - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Carter, John - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Carter, V A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carter, W G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carter, W H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carter, W M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Carter, W N - Age 31, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cartwright, William H - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Catlett, Robert - Age 32, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Catlett, Robert - Age 29, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cazey, James - Age 37, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chaffin, C C - Age 25, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chaffin, Elias - Age 57, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chaffin, Joseph - Age 62, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chaffin, M V - Age 20, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Champion, M M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Champion, M W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Champion, N M - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Champion, Robert D - Age 18, Year: 1863 - Twenty-eighth Cavalry, C-E"
"Champion, Sid S - Age 38, Year: 1864 - Twenty-eighth Cavalry, C-E"
"Chandler, C C - Age 41, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chapman, F W - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chapman, J A - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chapman, William - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Chappin, C C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Chatham, William - Age 46, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chattam, William - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cheek, Charles - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Chick, F J - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Chickering, John D - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Christian, T H - Age 18, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Christie, Andrew - Age 21, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Church, W B - Age 22, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clack, John - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Clack, John G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clanton, B J - Age 24, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clanton, J W - Age 31, Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clanton, R T - Age 20, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clark, D - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Clark, J A - Age 23, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clark, John R - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clark, John R - Age 26, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clark, P C - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Clarke, J H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clarke, John - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Clarke, John A - Age 23, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clarke, W C - Age 18, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clarkson, B B - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clary, Robert - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clayton, Joshua - Age 27, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clayton, Samuel - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clements, H H - Age 62, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clements, W P - Age 48, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clifton, Azel D - Age 28, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clifton, John F - Age 35, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cloman, A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clough, George H - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Clough, G H - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Clower, J J W - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Clower, J W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cobb, Phillip - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Cochran, E A - Age 32, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cofer, A - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Cogswell, James C - Age 24, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cogswell, James C - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Coker, J A - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Coker, J D - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Cole, J B - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Coleman, A G - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Coleman, C - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Coleman, J D - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Coleman, J H - Age 27, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Coleman, William C - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Collier, Jefferson - Age 27, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Collier, T H - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Collins, B F - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Collins, Joshua H - Age 21, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Collins, William M - Age 22, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Collum, C A - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Collum, J S - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Colter, John - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Colter, N G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Colvin, R - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Comfort, F M - Age 42, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Comfort, F M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Condra, John F - Age 18, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Condry, John F - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cone, Chas A - Age 29, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Conner, W E - Age 35, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, A M - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, H J - Age 27, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, Isaac - Age 18, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, J - Age [Blank], Year: 1864 - Twenty-eighth Cavalry, C-E"
"Cook, James - Age 33, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, J R - Age 23, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, M S - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, Slaughter G - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Cook, S G - Age [Blank], Year: 1863 - Twenty-eighth Cavalry, C-E"
"Cook, S M - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cook, W M - Age 20, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cook, W W - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Cooper, Thaddeus E J - Age 33, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Corder, I R - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Corder, M - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Corder, William - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Corgyle, Thomas - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Corrigan, P J - Age 38, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cotton, George T - Age 18, Year: 1862 - Twenty-eighth Cavalry, C-E"
"Cotton, J J - Age [Blank], Year: 1865 - Twenty-eighth Cavalry, C-E"
"Cotton, J R - Age [Blank], Year: 1862 - Twenty-eighth Cavalry, C-E"
"Coualter, John A - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
"Coulter, A G - Age [Blank], Year: [BLANK] - Twenty-eighth Cavalry, C-E"
